Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Taxonomic ID	 Order          	 Class    
mManPen7.hap1	GCF_030020395.1	GCA_030020395.1	Manis pentadactyla	143292	 Pholidota       	 Mammalia 
mMarFla1.hap1	GCF_047511675.1	GCA_047511675.1	Marmota flaviventris	93162	 Rodentia        	 Mammalia 
marMar	GCF_001458135.2	GCA_001458135.2	Marmota marmota marmota	9994	 Rodentia        	 Mammalia 
Marmota_monax_Labrador192_F-V1.1	GCF_021218885.2	GCA_021218885.2	Marmota monax	9995	 Rodentia        	 Mammalia 
UCSF_Mcou_1	GCF_008632895.1	GCA_008632895.1	Mastomys coucha	35658	 Rodentia        	 Mammalia 
mMelMel3.1 paternal haplotype	GCF_922984935.1	GCA_922984935.1	Meles meles	9662	 Carnivora       	 Mammalia 
Bangor_MerUng_6.1	GCF_030254825.1	GCA_030254825.1	Meriones unguiculatus	10047	 Rodentia        	 Mammalia 
BCM_Maur_2.0	GCF_017639785.1	GCA_017639785.1	Mesocricetus auratus	10036	 Rodentia        	 Mammalia 
mMesDen1 primary haplotype	GCF_025265405.1	GCA_025265405.1	Mesoplodon densirostris	48708	 Cetacea         	 Mammalia 
M.murinus_Inina_mat1.0	GCF_040939455.1	GCA_040939455.2	Microcebus murinus	30608	 Primates        	 Mammalia 
MicOch1.0	GCF_000317375.1	GCA_000317375.1	Microtus ochrogaster	79684	 Rodentia        	 Mammalia 
Mior012	GCF_018167655.1	GCA_018167655.1	Microtus oregoni	111838	 Rodentia        	 Mammalia 
mMicPen1.hap1	GCF_037038515.1	GCA_037038515.1	Microtus pennsylvanicus	10058	 Rodentia        	 Mammalia 
Mnat.v1	GCF_001595765.1	GCA_001595765.1	Miniopterus natalensis	291302	 Chiroptera      	 Mammalia 
mMirAng1.0.hap1	GCF_029215605.1	GCA_029215605.1	Mirounga angustirostris	9716	 Carnivora       	 Mammalia 
KU_Mleo_1.0	GCF_011800145.1	GCA_011800145.1	Mirounga leonina	9715	 Carnivora       	 Mammalia 
mMolMol1.p	GCF_014108415.1	GCA_014108415.1	Molossus molossus	27622	 Chiroptera      	 Mammalia 
mMonDom1.pri	GCF_027887165.1	GCA_027887165.1	Monodelphis domestica	13616	 Didelphimorphia 	 Mammalia 
NGI_Narwhal_1	GCF_005190385.1	GCA_005190385.2	Monodon monoceros	40151	 Cetacea         	 Mammalia 
ASM2237691v1	GCF_022376915.1	GCA_022376915.1	Moschus berezovskii	68408	 Artiodactyla    	 Mammalia 
UCB_Mmun_1.0	GCA_008782695.1		Muntiacus muntjak	9888	 Artiodactyla    	 Mammalia 
mMunRee1.1	GCF_963930625.1	GCA_963930625.1	Muntiacus reevesi	9886	 Artiodactyla    	 Mammalia 
CAROLI_EIJ_v1.1	GCF_900094665.2	GCA_900094665.2	Mus caroli	10089	 Rodentia        	 Mammalia 
GRCm39	GCF_000001635.27	GCA_000001635.9	Mus musculus	10090	 Rodentia        	 Mammalia 
PAHARI_EIJ_v1.1	GCF_900095145.1	GCA_900095145.2	Mus pahari	10093	 Rodentia        	 Mammalia 
mMusErm1.Pri	GCF_009829155.1	GCA_009829155.1	Mustela erminea	36723	 Carnivora       	 Mammalia 
mMusLut2.pri	GCF_030435805.1	GCA_030435805.1	Mustela lutreola	9666	 Carnivora       	 Mammalia 
MUSNIG.SB6536	GCF_022355385.1	GCA_022355385.1	Mustela nigripes	77151	 Carnivora       	 Mammalia 
ASM1176430v1.1	GCF_011764305.1	GCA_011764305.2	Mustela putorius furo	9669	 Carnivora       	 Mammalia 
Bank_vole1_10x	GCF_902806735.1	GCA_902806735.1	Myodes glareolus	447135	 Rodentia        	 Mammalia 
ASM41265v1	GCF_000412655.1	GCA_000412655.1	Myotis brandtii	109478	 Chiroptera      	 Mammalia 
mMyoDau2.1	GCF_963259705.1	GCA_963259705.1	Myotis daubentonii	98922	 Chiroptera      	 Mammalia 
ASM32734v1	GCF_000327345.1	GCA_000327345.1	Myotis davidii	225400	 Chiroptera      	 Mammalia 
Myoluc2.0	GCF_000147115.1	GCA_000147115.1	Myotis lucifugus	59463	 Chiroptera      	 Mammalia 
mMyoMyo1.p	GCF_014108235.1	GCA_014108235.1	Myotis myotis	51298	 Chiroptera      	 Mammalia 
mMyoYum1.0.hap1	GCF_028538775.1	GCA_028538775.1	Myotis yumanensis	159337	 Chiroptera      	 Mammalia 
S.galili_v1.0	GCF_000622305.1	GCA_000622305.1	Nannospalax galili	1026970	 Rodentia        	 Mammalia 
ASM4783464v1	GCA_047834645.1		Nasalis larvatus	43780	 Primates        	 Mammalia 
mNeoNeb1.pri	GCF_028018385.1	GCA_028018385.1	Neofelis nebulosa	61452	 Carnivora       	 Mammalia 
ASM_NN_V1	GCF_020171115.1	GCA_020171115.1	Neogale vison	452646	 Carnivora       	 Mammalia 
ASM220157v2	GCF_002201575.2	GCA_002201575.2	Neomonachus schauinslandi	29088	 Carnivora       	 Mammalia 
Neophocaena_asiaeorientalis_V1.1	GCF_003031525.2	GCA_003031525.2	Neophocaena asiaeorientalis asiaeorientalis	1706337	 Cetacea         	 Mammalia 
ASM167557v1	GCA_001675575.1		Neotoma lepida	56216	 Rodentia        	 Mammalia 
Asia_NLE_v1	GCF_006542625.1	GCA_006542625.1	Nomascus leucogenys	61853	 Primates        	 Mammalia 
mMacEug1.pri_v2	GCF_028372415.1	GCA_028372415.2	Notamacropus eugenii	9315	 Diprotodontia   	 Mammalia 
NYPRO_anot_genome	GCF_905146905.1	GCA_905146905.1	Nyctereutes procyonoides	34880	 Carnivora       	 Mammalia 
mNycCou1.pri	GCF_027406575.1	GCA_027406575.1	Nycticebus coucang	9470	 Primates        	 Mammalia 
NIBS_Ocur_1.0	GCF_017591425.1	GCA_017591425.1	Ochotona curzoniae	130825	 Lagomorpha      	 Mammalia 
mOchPri1.hap1	GCF_030435755.1	GCA_030435755.1	Ochotona princeps	9978	 Lagomorpha      	 Mammalia 
OctDeg1.0	GCF_000260255.1	GCA_000260255.1	Octodon degus	10160	 Rodentia        	 Mammalia 
Oros_1.0	GCF_000321225.1	GCA_000321225.1	Odobenus rosmarus divergens	9708	 Carnivora       	 Mammalia 
Ovbor_1.2	GCF_023699985.2	GCA_023699985.4	Odocoileus virginianus	9874	 Artiodactyla    	 Mammalia 
mOncTor1.1	GCF_903995425.1	GCA_903995425.1	Onychomys torridus	38674	 Rodentia        	 Mammalia 
mOrcOrc1.1	GCF_937001465.1	GCA_937001465.1	Orcinus orca	9733	 Cetacea         	 Mammalia 
mOrnAna1.pri.v4	GCF_004115215.2	GCA_004115215.4	Ornithorhynchus anatinus	9258	 Monotremata     	 Mammalia 
OryAfe1.0	GCF_000298275.1	GCA_000298275.1	Orycteropus afer afer	1230840	 Tubulidentata   	 Mammalia 
