Assembly Name	Assembly Accession	Assembly Paired Assembly Accession	Organism Name	Organism Taxonomic ID	 Order          	 Class    
mRhiFer1_v1.p	GCF_004115265.2	GCA_004115265.3	Rhinolophus ferrumequinum	59479	 Chiroptera     	 Mammalia 
ASM3656204v1	GCF_036562045.2	GCA_036562045.1	Rhinolophus sinicus	89399	 Chiroptera     	 Mammalia 
ASM169854v2	GCF_001698545.2	GCA_001698545.2	Rhinopithecus bieti	61621	 Primates       	 Mammalia 
ASM756505v1	GCF_007565055.1	GCA_007565055.1	Rhinopithecus roxellana	61622	 Primates       	 Mammalia 
mRouAeg1.p	GCF_014176215.1	GCA_014176215.1	Rousettus aegyptiacus	9407	 Chiroptera     	 Mammalia 
mSacBil1_pri_phased_curated	GCF_036850765.1	GCA_036850765.1	Saccopteryx bilineata	59482	 Chiroptera     	 Mammalia 
mSacLep1_pri_phased_curated	GCF_036850995.1	GCA_036850995.1	Saccopteryx leptura	249018	 Chiroptera     	 Mammalia 
ASM367639v1	GCF_003676395.1	GCA_003676395.1	Sagmatias obliquidens	3371155	 Cetacea        	 Mammalia 
ASM3183507v1	GCA_031835075.1		Saguinus oedipus	9490	 Primates       	 Mammalia 
mSaiBol1.pri	GCF_048565385.1	GCA_048565385.1	Saimiri boliviensis	27679	 Primates       	 Mammalia 
GSC_monkey_1.0	GCF_009761245.1	GCA_009761245.1	Sapajus apella	9515	 Primates       	 Mammalia 
mSarHar1.11	GCF_902635505.1	GCA_902635505.1	Sarcophilus harrisii	9305	 Dasyuromorphia 	 Mammalia 
mSciCar1.2	GCF_902686445.1	GCA_902686445.2	Sciurus carolinensis	30640	 Rodentia       	 Mammalia 
ASM4990163v1	GCA_049901635.1		Scotinomys teguina	56236	 Rodentia       	 Mammalia 
SemEnt	GCA_047655295.1		Semnopithecus entellus	88029	 Primates       	 Mammalia 
ASM4859323v1	GCF_048593235.1	GCA_048593235.1	Sminthopsis crassicaudata	9301	 Dasyuromorphia 	 Mammalia 
SGIG_CAM011_5_02_2020	GCA_032199065.1		Smutsia gigantea	1559511	 Pholidota      	 Mammalia 
mSorAra2.pri	GCF_027595985.1	GCA_027595985.1	Sorex araneus	42254	 Eulipotyphla   	 Mammalia 
SorFum_2.1	GCF_029834395.1	GCA_029834395.2	Sorex fumeus	62283	 Eulipotyphla   	 Mammalia 
WHU_Shon_v2.1	GCF_014824575.3	GCA_014824575.2	Sturnira hondurensis	192404	 Chiroptera     	 Mammalia 
mSunEtr1.pri.cur	GCF_024139225.1	GCA_024139225.1	Suncus etruscus	109475	 Eulipotyphla   	 Mammalia 
meerkat_22Aug2017_6uvM2_HiC	GCF_006229205.1	GCA_006229205.1	Suricata suricatta	37032	 Carnivora      	 Mammalia 
Sscrofa11.1	GCF_000003025.6	GCA_000003025.6	Sus scrofa	9823	 Artiodactyla   	 Mammalia 
NHGRI_mSymSyn1-v2.1_pri	GCF_028878055.3	GCA_028878055.3	Symphalangus syndactylus	9590	 Primates       	 Mammalia 
mTacAcu1.pri	GCF_015852505.1	GCA_015852505.1	Tachyglossus aculeatus	9261	 Monotremata    	 Mammalia 
MPIMG_talOcc4v2.1	GCF_014898055.3	GCA_014898055.3	Talpa occidentalis	50954	 Eulipotyphla   	 Mammalia 
mTamTet1.pri	GCF_023851605.1	GCA_023851605.1	Tamandua tetradactyla	48850	 Pilosa         	 Mammalia 
mTenEca1.hap1	GCF_050624435.1	GCA_050624435.1	Tenrec ecaudatus	94439	 Afrosoricida   	 Mammalia 
Tgel_1.0	GCF_003255815.1	GCA_003255815.1	Theropithecus gelada	9565	 Primates       	 Mammalia 
Tfra_2.0	GCF_009764315.1	GCA_009764315.1	Trachypithecus francoisi	54180	 Primates       	 Mammalia 
TriManLat1.0	GCF_000243295.1	GCA_000243295.1	Trichechus manatus latirostris	127582	 Sirenia        	 Mammalia 
mTriVul1.pri	GCF_011100635.1	GCA_011100635.1	Trichosurus vulpecula	9337	 Diprotodontia  	 Mammalia 
TupChi_1.0	GCF_000334495.1	GCA_000334495.1	Tupaia chinensis	246437	 Scandentia     	 Mammalia 
mTurTru1.mat.Y	GCF_011762595.2	GCA_011762595.2	Tursiops truncatus	9739	 Cetacea        	 Mammalia 
mUroPar1.hap1	GCF_045843805.1	GCA_045843805.1	Urocitellus parryii	9999	 Rodentia       	 Mammalia 
gsc_jax_bbear_1.0	GCF_020975775.1	GCA_020975775.1	Ursus americanus	9643	 Carnivora      	 Mammalia 
UrsArc2.0	GCF_023065955.2	GCA_023065955.2	Ursus arctos	9644	 Carnivora      	 Mammalia 
ASM1731132v1	GCF_017311325.1	GCA_017311325.1	Ursus maritimus	29073	 Carnivora      	 Mammalia 
VicPac4	GCF_048564905.1	GCA_048564905.1	Vicugna pacos	30538	 Artiodactyla   	 Mammalia 
bare-nosed wombat genome assembly	GCF_900497805.2	GCA_900497805.2	Vombatus ursinus	29139	 Diprotodontia  	 Mammalia 
ASM1834538v1	GCF_018345385.1	GCA_018345385.1	Vulpes lagopus	494514	 Carnivora      	 Mammalia 
VulVul3	GCF_048418805.1	GCA_048418805.1	Vulpes vulpes	9627	 Carnivora      	 Mammalia 
mZalCal1.pri.v2	GCF_009762305.2	GCA_009762305.2	Zalophus californianus	9704	 Carnivora      	 Mammalia 
